id_perfil;clase;lugares
5C7ASYXRKVHRPH6FEWTEYXFVQA;Undetermined;none
5CPEBMZ3YO7OBJ6Z7ZEONYGXZQ;Non-USA;Spain
5CWOCNDBMRBP7U5JJCVQ26ECSA;USA only;columbus, ohio
5DJAYIBF4U5PMSN4IE43G5YTXU;Undetermined;none
5EMZLVQ5KXQW4GTO6K25I6WZVM;Non-USA;north east of scotland
5FBD7TDRKNQFXBCXZQFZYABB6E;USA only;New Jersey
5G7KPYCLY5WFT4E7ACS56PDXWI;USA only;Lexington KY
5GZAYTIHUGTNL2X3SBYNUUOXFU;USA only;San Diego, California
5HGHTCROZT4RQQNHSMTVGT2XWU;Non-USA;Geneva
5K4CVYWPCXVQKQD2FHGVV7RC2A;Undetermined;none
5KAD7GGHRXCIMEXNVGBDGUY4QA;USA only;Brooklyn
5KGTFTEENQFEMX5BEYRTGX7B2Y;USA only;houston texas
5KIKGABYIK4VLX4BTE52JW7M5A;USA only;South West Florida
5LLI5CTN2CXKIOERJIISKE2YA4;World;Afghanistan - United States
5LYXS7A47WZGEMIOCYIF7AA5IQ;USA only;mississippi
5MEM4GP7STZEOSO45XZSRWHMEA;World;China - DC
5MLIB2BJONB4YAMUIUGKUFIEBY;Non-USA;Budapest, Hungary
5N6C6XU4AGXPO7244PNUE3CKT4;USA only;los angeles california
5NNP7UJDXUVRBCPL4NVACXQ4DM;USA only;Iowa
5O5Y6CZ73V44Z5LSL4IYTBJDCU;Undetermined;none
5ODMRYDSZTVOV3ULUJSH3P33IU;USA only;new york
5PIXFLK4FFTGXSPD5HB66SRT5A;USA only;Southern California
5PQZ2NFIRFXSOMUDMLOQYDUFRU;Undetermined;none
5RAHMKGLYVTGLEWHSYYCYWJ6FY;Undetermined;none
5REAN5QDIQIJGMBMRXEZESZ7OQ;Undetermined;none
5RK5GCFCPDUHZVACC6PIGYKJFE;Non-USA;Scotland
5RSRXRJC2OO6T5RGE654DBFQJM;USA only;east TN, USA
5RYKBCHRHVSDCNZ3VM4JJP4FKM;Non-USA;Venezuela
5S2UZPVC7KNBUTGA7TZ5XRBGVQ;Non-USA;australia
5T7PMZH54RB3UFPBWGPNGNIUVY;Undetermined;none
5TL5WTWE2GQRB7CX5QYQUKW3KU;Undetermined;none
5TOCUUH2U5VOZJZFP4JSN2JHBI;USA only;Washington,DC
5U5JBSUCPJKKYLZGFJ6CCX5CXM;Undetermined;none
5UWA34YL2U57QQ27RVKV5KGLVQ;USA only;US
5VFIRQUDVNALSK7P6XLXUWQY24;Non-USA;New Zealand
5W6DYQQ6O67O5MNVPKSVZE43QA;Non-USA;Singapore
5WDJR63CMYJ2ZOOHDR7M6WPRHA;Undetermined;none
5XCYZD7PTERWB6BJE6K2XWPWRY;Non-USA;Scotland
5Y55VGKEYJ3QZFU4J2Z6YWGZ74;World;Russia - Moscow - Canada - United States
5ZNSM65GRQY7KXANRWDC4CWBMA;Non-USA;UK
5ZPN7ZSJQ3RJNQNHPTNFWYR5FQ;USA only;Michigan
623TTZZFI22FHF2QFU3JCOFPMA;Non-USA;Kuwait 
62F6R3S2OAUBCKIKWTP6SDZXDY;Non-USA;singapore
62GDNQCOROVUJ2QQNWUHLMO5OA;Non-USA;Philippines
63FU7W5TKF66DU3PSIPVSYR4OU;Non-USA;The Netherlands
63WTNF6L52EEYWDECUU7H5VEXY;USA only;Arkansas
642FGNQSOZCX4A5T7K3RXQTX2U;Non-USA;Australia, Melbourne
642MJCNR623YQY36SKTAO77UCU;USA only;US
64LL2WUK5GEMGMTNYRIYARBLDM;USA only;ga
652TE3WGLWH2BRCM2YWUNKD57Y;Non-USA;UK 
65IJ2SNZ4H4UCWKCZ4OSX25E5Y;Non-USA;Birmingham, England - North Staffordshire - Egypt - Malay - Australia
65KIWXAY3I3FZYW33HN26TUEG4;Non-USA;Canada
66FKRADMCZK3FTNLKURBHAHMKU;Undetermined;none
66LAAUNQFFFPVELLVJGTDLOJYI;Non-USA;INDIA
673IO7NVMMXDD6S4XDB6RFFF6I;Undetermined;none
673NHNL6SMLOWZLBVQFFG4MFK4;USA only;Texas
67G4SDGW3NXGMA276UDC54TPBM;Undetermined;none
67OSHQ5AJHKGTI4LPDDZOC4E7Q;USA only;Florida
67PKNMLCRM7Y2WSSCI6TDGU3UQ;Non-USA; kolkata, india
6AL6PGW5PT4NECRCVZQVFX5ZBE;Undetermined;none
6B3Y7YHPED2XETSVVEBDLXICSU;World;Canadian - California
6B4LS2BSZL5POECQUZP7JSRNTU;Undetermined;none
6CAWJ4BPUWPBFDHOOO7SKWOA3A;World;cebu - SOUTHERN CALI, san bernardino
6CBSOOIAAB6VID7ID2YOOCQHTM;USA only;Beverly hills - Carmichael CA
6CC23BSSRS6DJLX6ZUPNVYWDKI;USA only;Florida
6CMAHCQH2ZMZST3PXQZZ5VSZAI;Non-USA;Sri Lanka - Jaffna - Badulla
6D7GKGPC6VY4DCTMHFADNMDSV4;Undetermined;none
6DPDUSTI7HIVVK3YS5VR4CIILQ;Undetermined;none
6DTAY44LLQR52B54F5UWLPGMBE;Undetermined;none
6EYWLNXQBO3UE2UWNA6AN7B6OQ;USA only;New Orleans, Louisiana 
6FHFCWTMSWQMO3ZRNR4VJKOGWE;USA only;Boston, MA
6HFLDYJEDPROQ4EWECTG36OAIE;World;Australia - UK  - USA
6ISGIGJHAWRED3QDNI5NDZRKSA;USA only;PNW... (Washington)
6IU72TFQ4CW4SH2CXNUQZNER4Y;USA only;N Idaho
6JZHYQYLKQHQ3M26EXL2NHM6XQ;Non-USA;delhi
6K3KMEJMCMPBZEKIQJD4JVPKDY;Non-USA; England, United Kingdom 
6KK5FH4MNWCRKW2HQ5RRDKUB7I;USA only; Los Angeles
6KL3HQ7JYSDKPEFCCPAITDK4E4;World;New York - South Africa - Pennsylvania 
6KPS4KS2A4CQDRMLZGIKPGTP7A;Non-USA;San Juan, Puerto Rico
6KR6OUGFNUQPR2EKR7PXUDFMXQ;Non-USA;portugal
6KXN7ASWVZQNF6DIXSBXR6KA5Y;Non-USA;Scottish 
6L7EC3W4P2DV643LPHWQQMIO6I;USA only;Texas 
6LGJPFPNQHXB3GFM5LHQ5ZJDDY;USA only;down south in the US
6LPSYQXRQNW35Y2M5SVKHPEX2I;USA only;east texas
6LSETW6ARP2YX2WPNOJLQS57KI;Undetermined;none
6M6MB6TGNRAT4MBJJZL5PGSCNI;USA only; baja california
6M6XW5LZXSKGEMBYEAWNF2DWY4;Non-USA;England
6MA5N3WBMJD7IEZQJLJR3NVSOA;USA only;Detroit Michigan
6MCLF5OHZQF6ALYYSWJNGHPFZM;Non-USA;South Australia
6N6RDHTYTDU622JIJYWWHRFD7E;USA only;Sacramento
6N7DOPKBZW4HZAPXBO6FSTOB5U;Undetermined;none
6NH3JRO6TVGKLHC7462GT3CMSE;USA only;U.S
6NWT3AZDELAHMHPDMUTJ3VXYQU;Non-USA;northumberland, england
6OCNH74CZGBRZDE5OZRVK5HVDY;Undetermined;none
6OKR3KHRA2JXC7LBY4XYSTRZTY;USA only;Murrieta
6OKSCERYRDTF6FR6MBT4F5SPTU;USA only;Los Angeles
6OONICKHSLT6K3MSROSGUG7UKM;USA only;manhattan
6OQSROYVVIKNVOTUJJLUPNRLLU;USA only;Washington DC
6OX3KGNYXASCFM5EZGYOMR4E24;Undetermined;none
6PDDZR3FO4SNIJYLA56ZQCVA5M;Non-USA;manchester
6Q62PK44CVFM6Q5PZSPSTZ3FPQ;Undetermined;none
6Q725MC2DDN4OQRNE4KJDUNQ2A;Undetermined;none
6QKNS25DPVDO4CABC4W44RAGQQ;USA only;Jersey
6R7MBL6WTBIHXHJULSYO7DAAKY;Non-USA;indian - New Zealand
6ROOTWOHXBUQBBI7LYPKSW5PE4;Undetermined;none
6RVHVHLTOLCDCZJ44SZ6IXYENI;USA only;Wisconsin
6UR64R67FU2XJV2AHIKLN4KGDQ;Undetermined;none
6V44GQV6AHHCXOC24M47A5ER34;Non-USA;Hk
6V54HMDSV7VHNDM5WG6JPU64BA;Non-USA;Bhopal, India
6V63JNVHCSHOXY2OJVM6LSRTZQ;World;miami - cuba
6VDJEOXZ3NWJ4E34ME6TJIGEGI;Non-USA; Sydney, Australia
6W3O34OWYZMSGTOFE4PRU4RR2A;World;California  - canada
6WLAU6BCT2WBH7ZUCLBLLD2XBI;USA only;Hawaii
6WQM26N6RDOXFLC4TUXVPUPVZM;Non-USA;Bali
6XA22UMI5I26W5ATQCZFQQSXGA;USA only;East Coast USA
6YREBBQKDHYG6XWSL4EJNSFG2U;USA only;Denver, CO
6YTOQBBSIGMQJ45BKOCDOYYYDA;Undetermined;none
6Z6ZGCEZPWT62PXB2B2CQBYFPA;Undetermined;none
6ZLZFV5OYYSBA5CHXMQDLZIIMI;Non-USA;Canada
6ZP5HTWRNQWMQAYSKCV6YY6R4E;World;Japan - American
6ZTKRG5IYI2CY42RACEYM767KA;Undetermined;none
72SD453TKGVD3EDKB7NXOZ4C4E;Non-USA;Iraq 
73XOOE6SXNADUVVHRY7ODJC4CE;USA only;Southern California
752QVIFDBMOCIED64Q7MBDV7TI;Undetermined;none
75GN2UV2SSNJRNAXKBO5NCW6UU;USA only;Texas 
75HPXXOH5EVB3D3KSW3RVVSQI4;USA only;Los Angeles
75KPDZU2V44ZOM4GIK3YQC4HHQ;USA only;southern california
75VMEXUSSEYIU3RGAX24URACFA;World;Pakistan  - USA
75X4L7UAWS5DBCNK262WQIMRYU;World;England  - France - American 
767OG3RPHXYZBFWW6F54NDCXMU;Non-USA;England
76EBNUVOQ5SN4P3R7I5CLKBSJA;USA only;Washington, DC
77I75NNRJTZPRKJAM74KVXVUWI;USA only;yuma az
7AVRFMHHPG5EJOHDN4ZCQHCCEU;Undetermined;none
7BHGYZ3M3XDZRFRXVBAT5XFTSE;USA only;u.s
7BTMRVKDDRSFYWWQ54WRSZ2Q5Q;Non-USA;Leeds Uk
7BVFVL4ZMM442IMK6DGBXOLRLU;Undetermined;none
7BXKCR72TFKMBTWLITHMPIRPGM;USA only;San Diego, CA
7CLZSDYL73G5P6EOMQBF2MR6YI;USA only; Austin, TX  
7CTE42WDOW75LCGLK6BWPDBX7I;Non-USA;Spain
7CXGPKIOD6K6SQIHKFK3SK4H4M;Non-USA;Turkey
7DB4VR2RK3NCSFVRGJGGILU4A4;Undetermined;none
7DQR2DPI7V5JS5AOLAF2ZYYK6Q;USA only;New Jersey
7DTSLDYZOZNXIEPGVHMREJNY7E;USA only;Minneapolis
7DX7OO4HUS2N4QFGGUIXZE22GQ;Undetermined;none
7DZ4AWYRIBJCVM64XHGZC55CGQ;USA only;New York
7EK7WYGCRDIN3FW24DQW4QODRQ;Non-USA;HYDERABAD , INDIA
7F5KHRJGS2O3FSKODC6PIFXIPY;Undetermined;none
7FXH3LXY7FIQZX2NJZJCA52BAE;Undetermined;none
7GUYCH5QZMT32UXJZ6V5AXI75A;Undetermined;none
7GVH2YSROUYE7UAWZR2LKCQTBQ;Non-USA;CHINA
7H7OTNYDRMCXCWEDV4RM3JRLJM;Non-USA;uk 
7HD3VOCKIQAQY3TRBL36TNEW5M;USA only;Southern California
7HHZFIH3FLLJ7Y73J6ZYDGIYWE;Undetermined;none
7HKQPTVZIWQFECQ4DDRDRSLQRY;USA only;New Jersey
7HL34JSNFXE2FZU7ZMTWG43R3Q;Non-USA;Cairo 
7HM7WZ4CJZQOL2SHBDPRJFUQ2U;Non-USA;Veracruz. Mex
7IANRUFN2CAGUCLO372G4SKWKE;USA only;charleston south carolina - so. cali
7KLRMTB7IB5WH55EWXRXACTJHM;Non-USA;Mumbai, India
7KSU43A44RREWA3DGKM6SPJHRM;USA only;US 
7M5KKXA2C6M7EP4MXF2FJDX5SM;Non-USA;Burnaby, B.C. Canada
7MIXKCXR6OUTX234ZKBL5G7VEE;World;hollywood/los angeles california - brisbane - kalgoorlie 
7OPVAQNOVMTSGUD3NUIOVXRQB4;Non-USA;Japan 
7PDJM2ECZZSZGXJT5IBV2RRSOA;USA only;Orlando 
7PFNGUIGF7IN2R5LCP3YHOSM44;Undetermined;none
7PIFY7Y6ZLAFGYCWED5XDVHX74;USA only;New Jersey
7PORUTD2JJOEJG2PAM767OJIPI;Undetermined;none
7PYJ6HUG64TENMAIMPHJMT6KXI;USA only;San Diego ,California
7QAHYZPAXITWPQZZKHFSSU2XAI;USA only; Tallahassee, fl
7QZKUGM5N53KVSI5IPRKZ2BSOE;Non-USA;Bali
7R2AX77M3NIHK6QT4CRXY2I3LQ;Non-USA;Sweden
7SGQE5OO4XIE6DZNHP7MXS2M6A;Undetermined;none
7SYPMW5UPWPAMFLFDBFAO4MT3I;Non-USA;UK
7TOJDW5I3DEQMHVBD4E45DXHC4;Undetermined;none
7UYSZ3CYHNA4SXMSQO4Q5BQQT4;Undetermined;none
7V525GPDF4CNLBH5ZB2S3QCFII;USA only;United States
7V5SSJXN3ZJQIGMIA3PUDJGE2Y;Undetermined;none
7V7HOCHXVZDX62ADETCJAX76E4;Non-USA;UK
7W7JDUNC4Y3PKPVGASWU7LSAB4;Undetermined;none
7X5ZTARQFHYYCVJDJMXEINMCCA;Non-USA;Netherlands 
7XDNTIL7OVMDM3546YF24H77RU;USA only;Denver, Colo
7XLCETZALJYPZ4KXME6H6SL43Q;Non-USA;Wales in the UK
7YDQWYZZVIKZTM3P5SXINYXNKU;USA only;Cleveland Ohio
7ZV5VLEV32PXBSLCRW2F4MCDT4;Undetermined;none
7ZW4OJADP4M4RVWQS6ABEFH7JM;USA only;New York City, NY 
7ZWKLLX3JDYVDVTXSB5BB3MUGU;USA only;Texas 
A2RSXW54WIRYSKPT7NSE37W4OI;USA only;Californian
A3JMP2IT5K4KGAALEBW5VUA4JM;Undetermined;none
A3LDR46BUYUGS2IFRS7X67VLJY;USA only;Toledo, Ohio
A3YZJZQSC6KVO3STNNBGBWPQSI;Undetermined;none
A45DRYXDOJJVUL6ODPCU6HWGO4;Undetermined;none
A543CM6CLJSALS3BFLEQXU2JL4;Non-USA;kerala
A6HKMPYOTHWVURXBS5EL7NFUZU;Non-USA;Spain
A6I36LHXQCTMHEXZMHWDZ4RN3U;USA only;INDIANA
A6JLLGGMTNV7EBTVQZJOY4HD3U;Non-USA;Scotland
A6N23K432JE2GPQZ4DLHOGY4FA;Non-USA;Edinburgh
A76ZPXGMSEZE4JFXRJEJAXOGPY;Undetermined;none
A7DS4R5V2SLXTTCHSIVRKU4LNI;USA only;California 
A7XS6UNIT6EV67BE2SF4BSAIFY;Undetermined;none
AA2LR4TA3APR56KMO22ITESGMA;Undetermined;none
